('G705434', '170316706001008')
('G706451', '170318438001043')
('G707351', '170313007003005')
('G707623', '170318330002014')
('G708133', '170313514001015')
('G708357', '170315806001008')
('G708874', '170318421004006')
('G709562', '170312607001007')
('G711052', '170318428001007')
('G713323', '170312601001019')
('G718132', '170314304004009')
('G719468', '170318424001000')
('G719550', '170312315002018')
('G719667', '170312520003006')
('G719922', '170313108002007')
('G720039', '170310819001000')
('G720495', '170315302001026')
('G721854', '170310101003008')
('G722334', '170313807001007')
('G722362', '170310514002000')
('G723106', '170317115002021')
('G723360', '170312215002008')
('G723559', '170318311001024')
('G725229', '170312513003010')
('G726109', '170312411002015')
('G729426', '170314606001003')
('G729640', '170315805022009')
('G730689', '170314605007029')
('G734147', '170318330001002')
('G734740', '170318413004007')
('G735183', '170314914002016')
('G736592', '170311407021000')
('G740056', '170318311003024')
('G740114', '170314805001001')
('G740460', '170315103002009')
('G744856', '170314603013005')
('G744930', '170316911004000')
('G746173', '170314302005004')
('G748971', '170312516003015')
('G749305', '170312506002011')
('G750779', '170312511002009')
('G751124', '170316603024004')
('G754527', '170314008001006')
('G755943', '170318357001001')
('G757106', '170314503004017')
('G759169', '170316814001006')
('G759170', '170310302001013')
('G759800', '170315201001032')
('G760476', '170314607002007')
('G761106', '170312601001013')
('G7620241', '170310317003004')
('G763171', '170318413002013')
('G765929', '170316813003010')
('G768259', '170318410001070')
('G768259', '170318410001070')
('G770219', '170310315022000')
('G773254', '170312520002017')
('G773359', '170313007002004')
('G773995', '170313515002004')
('G776686', '170316704001032')
('G777020', '170313105001006')
('G777021', '170316302001004')
('G777096', '170312215002025')
('G777990', '170317105002013')
('G778915', '170314603023007')
('G900755', '170318368001007')
('HH101153', '170318346003006')
('HH103319', '170318421004001')
('HH103645', '170313018022013')
('HH103827', '170310818002007')
('HH104274', '170315305032030')
('HH105486', '170316811005011')
('HH105585', '170316715003010')
('HH106070', '170312604001001')
('HH106070', '170312604001001')
('HH108838', '170316707001000')
('HH108838', '170316707001000')
('HH109379', '170318305001024')
('HH110488', '170313018012034')
('HH110626', '170314904001028')
('HH110742', '170318439002015')
('HH112360', '170316110001021')
('HH112848', '170316806002029')
('HH114518', '170314207001009')
('HH114896', '170315305014034')
('HH114929', '170315002002023')
('HH114959', '170314207005005')
('HH118925', '170315303001018')
('HH119162', '170318387003013')
('HH122892', '170318424002003')
('HH123705', '170312603001023')
('HH123814', '170318392001001')
('HH127175', '170312315006006')
('HH130681', '170310102013011')
('HH130793', '170318348001012')
('HH131198', '170314208002001')
('HH131667', '170318410001025')
('HH133302', '170313009002003')
('HH135394', '170315305014000')
('HH136059', '170310608001000')
('HH138499', '170313812002012')
('HH146676', '170311401002011')
('HH146720', '170318387001005')
('HH148473', '170315602001001')
('HH149105', '170312306003018')
('HH152261', '170310305001000')
('HH154152', '170318347001011')
('HH158954', '170316603011013')
('HH160527', '170318374001016')
('HH161435', '170316113001000')
('HH167941', '170312518005017')
('HH175723', '170318396002009')
('HH177432', '170311502003006')
('HH178109', '170313817001000')
('HH178298', '170318391001027')
('HH180733', '170318439001008')
('HH190442', '170316104001014')
('HH191478', '170318305003001')
('HH192723', '170316910003008')
('HH194368', '170318421005019')
('HH198035', '170310306032001')
('HH199124', '170316904003008')
('HH202894', '170313818002007')
('HH203567', '170314802001004')
('HH205535', '170312609001009')
