CaseNumber,Latitude,Longitude
G684972,41.809211649,-87.696683126
G684972,41.809211649,-87.696683126
G686298,41.695768098,-87.612239266
G686446,41.833393992,-87.646168819
G687062,41.687120159,-87.664802953
G688450,41.788613959,-87.661193702
G688481,41.80909071,-87.603886822
G690295,41.80159966,-87.644473107
G690715,41.894298063,-87.664446501
G690868,41.879777902,-87.698711511
G690946,41.713389632,-87.550620923
G691204,41.827276641,-87.632930203
G691809,41.777309867,-87.640802922
G692918,41.917724083,-87.729019356
G694725,41.883191631,-87.706183852
G694885,41.802114141,-87.668446581
G694994,41.773465209,-87.574768371
G697425,41.751230848,-87.608335265
G697694,41.851769981,-87.673379563
G699263,41.87328131,-87.71974488
G701363,41.850795633,-87.713753142
G703238,41.689771618,-87.643514659
G703238,41.689771618,-87.643514659
G704510,41.921021778,-87.687522193
G705038,41.938455979,-87.701856948
G705224,41.903726336,-87.64250581
G705434,41.784846688,-87.670751672
G706451,41.803951605,-87.645405194
G707351,41.847405932,-87.713653722
G707623,41.887660183,-87.659825938
G708133,41.827040655,-87.624879203
G708357,41.820698543,-87.694588259
G708874,41.901650581,-87.729964379
G709562,41.879060948,-87.728065506
